dataset	perturbation_type	pseudo_method	N_tested	N_unique_genes	N_p005	Fraction_p005	N_q020	N_q010	N_q005	Min_p	Min_q	Median_sigma	Median_IR	Median_condition	Median_atom_zero
Kc167 | GSE83620	PSEUDO_SHUTOFF	4sU_unlabelled_preexisting	337	286	16	0.0474777448071217	0	0	0	0.007	0.708483720930233	0	2.26518666926659e-16	Inf	0.585917183436687
K562 | GSE207924	PSEUDO_SHUTOFF	gene_fraction_reconstruction	2696	1642	121	0.0448813056379822	0	0	0	2e-04	0.5392	0	1.30148519356121e-16	Inf	0.57751550310062
3T3 | GSE207924	PSEUDO_SHUTOFF	gene_fraction_reconstruction	1746	1289	79	0.0452462772050401	0	0	0	8e-04	0.5238	0	1.53837937678432e-16	Inf	0.578015603120624
mESC | GSE256335	TRUE_SHUTOFF		1972	1305	180	0.0912778904665314	54	29	12	2e-04	0.0328666666666667	0	1.90881556139938e-16	Inf	0.521004200840168
